OBJECTID,Type,Comments,SHAPESTLength,Corridor,Notes
1,main,,5884.25150441821,C,
2,main,,5587.1222673511,C,
3,main,,20640.2791956611,W,
4,main,,25912.5566554878,E,
5,alt,,16437.0020306412,N,sherman
6,main,,25635.8633614711,S,
7,ext,,11497.328498775,W,
8,alt,Odana,14617.1970136993,W,odana
9,alt,MPR,9536.23934397777,W,mpr
10,main,,9551.35252367634,N,
11,alt,,4390.43702311594,C,broom
12,alt,,6433.64298478312,C,broom
13,main,,2590.36272623736,W,
14,alt,,15555.3484549884,N,packers
15,main,,5973.38716829904,C,
16,alt,,3979.72653795676,C,state
17,alt,,2970.90304899923,C,state
18,main,,2494.53689484248,N,
